Gender,Age,Annual Income,Income Type,Employment Duration,Education Level,Marital Status,Occupation,Number of Children,Housing Type,Credit History,Loan Amount,Existing Loan Balance,Number of Credit Inquiries,Monthly Income,Employment Status,Approved
Male,47.6,83280.37,Pensioner,0.0,Secondary / secondary special,Married,Cleaning staff,4,House / apartment,Good,193445.13,0.0,1,6940.03,Retired,1
Female,45.3,66736.21,Working,0.8,Secondary / secondary special,Married,Drivers,2,House / apartment,Good,23015.43,11896.69,4,5561.35,Employed,1
Female,19.5,68994.68,Working,0.4,Secondary / secondary special,Married,IT staff,1,With parents,Good,106444.31,0.0,2,5749.56,Employed,1
Female,37.5,24760.93,Pensioner,0.0,Secondary / secondary special,Single / not married,Cleaning staff,2,Municipal apartment,Good,20433.31,5367.57,0,2063.41,Retired,1
Male,39.7,89856.75,Working,10.0,Secondary / secondary special,Married,Medicine staff,1,House / apartment,Bad,200774.72,0.0,2,7488.06,Employed,0
Male,40.7,55861.2,Commercial associate,14.3,Lower secondary,Separated,Cooking staff,2,Municipal apartment,Good,108170.02,50758.86,4,4655.1,Employed,0
Male,51.1,40756.13,Working,18.4,Secondary / secondary special,Single / not married,Private service staff,0,House / apartment,Good,40237.97,48132.28,0,3396.34,Employed,1
Female,48.4,52664.36,Commercial associate,22.6,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Bad,26387.35,242.89,0,4388.7,Employed,0
Female,52.7,20168.6,Working,9.7,Higher education,Married,Low-skill Laborers,1,House / apartment,Good,5000.0,0.0,0,1680.72,Employed,1
Female,61.6,60133.74,Working,22.6,Secondary / secondary special,Married,Realty agents,0,House / apartment,Good,95656.11,71886.26,0,5011.15,Employed,1
Male,64.3,29299.16,Commercial associate,3.5,Secondary / secondary special,Married,Cooking staff,0,House / apartment,Good,31487.73,23769.1,1,2441.6,Employed,1
Female,58.9,24925.95,Working,16.5,Secondary / secondary special,Married,IT staff,0,Office apartment,Good,21322.05,0.0,0,2077.16,Employed,1
Female,72.5,22898.36,Working,0.0,Incomplete higher,Married,HR staff,0,House / apartment,Good,56449.15,54799.85,0,1908.2,Retired,1
Male,19.0,85506.2,Working,0.8,Higher education,Married,Drivers,1,House / apartment,Bad,104209.92,29626.69,0,7125.52,Employed,0
Male,29.2,35788.01,Working,7.7,Higher education,Married,Sales staff,0,House / apartment,Good,67983.42,12965.33,1,2982.33,Employed,1
Male,18.4,105541.96,Working,0.4,Incomplete higher,Widow,Secretaries,3,House / apartment,Good,55492.88,6000.83,1,8795.16,Employed,1
Male,54.9,37500.11,Working,10.3,Higher education,Married,Core staff,2,House / apartment,Good,5000.0,3828.34,1,3125.01,Employed,1
Female,69.2,20875.28,Pensioner,0.0,Secondary / secondary special,Separated,Low-skill Laborers,2,House / apartment,Good,23007.7,27562.17,0,1739.61,Retired,1
Male,31.9,28049.83,Working,6.9,Secondary / secondary special,Separated,Medicine staff,0,House / apartment,Good,47617.26,0.0,1,2337.49,Employed,1
Male,70.8,90935.51,Working,0.0,Secondary / secondary special,Married,IT staff,0,Municipal apartment,Good,119656.29,127360.19,0,7577.96,Retired,1
Female,21.4,45344.81,Working,1.1,Higher education,Single / not married,Managers,3,With parents,Good,101441.73,77870.29,4,3778.73,Employed,0
Male,71.3,37266.73,Working,0.0,Higher education,Married,Security staff,2,House / apartment,Bad,42541.86,34446.69,0,3105.56,Retired,0
Male,38.0,53104.08,State servant,8.8,Secondary / secondary special,Married,Secretaries,1,House / apartment,Good,44947.66,25707.52,0,4425.34,Employed,1
Male,23.8,63000.09,Working,5.0,Incomplete higher,Married,Security staff,0,House / apartment,Good,144806.76,0.0,0,5250.01,Employed,1
Male,45.7,85707.83,State servant,18.9,Secondary / secondary special,Married,Security staff,1,House / apartment,Good,92249.51,0.0,0,7142.32,Employed,1
Female,32.6,101138.85,Working,12.9,Secondary / secondary special,Married,Waiters/barmen staff,1,House / apartment,Good,75566.38,0.0,0,8428.24,Employed,1
Male,34.2,40950.35,Commercial associate,3.3,Secondary / secondary special,Married,HR staff,0,House / apartment,Bad,13693.25,0.0,1,3412.53,Employed,0
Female,35.5,25259.97,Working,15.3,Incomplete higher,Married,IT staff,1,House / apartment,Good,50619.55,1275.25,2,2105.0,Employed,1
Female,63.8,39865.53,Pensioner,0.0,Secondary / secondary special,Married,Low-skill Laborers,2,House / apartment,Good,82929.06,0.0,0,3322.13,Retired,1
Male,48.7,55834.11,Working,1.8,Academic degree,Married,Security staff,1,House / apartment,Good,10045.38,9187.5,1,4652.84,Employed,1
Female,35.7,30276.3,Working,15.8,Higher education,Married,Secretaries,0,With parents,Good,29087.94,32166.87,2,2523.03,Employed,1
